0	 0.45	 0
0.00990099	 0.45014	 0
0.019802	 0.45028	 0
0.029703	 0.450419	 0
0.039604	 0.450558	 0
0.049505	 0.450697	 0
0.0594059	 0.450835	 0
0.0693069	 0.450972	 0
0.0792079	 0.451108	 0
0.0891089	 0.451243	 0
0.0990099	 0.451377	 0
0.108911	 0.45151	 0
0.118812	 0.451641	 0
0.128713	 0.45177	 0
0.138614	 0.451898	 0
0.148515	 0.452024	 0
0.158416	 0.452148	 0
0.168317	 0.45227	 0
0.178218	 0.45239	 0
0.188119	 0.452507	 0
0.19802	 0.452622	 0
0.207921	 0.452735	 0
0.217822	 0.452845	 0
0.227723	 0.452952	 0
0.237624	 0.453056	 0
0.247525	 0.453157	 0
0.257426	 0.453255	 0
0.267327	 0.45335	 0
0.277228	 0.453442	 0
0.287129	 0.453531	 0
0.29703	 0.453616	 0
0.306931	 0.453697	 0
0.316832	 0.453775	 0
0.326733	 0.45385	 0
0.336634	 0.45392	 0
0.346535	 0.453987	 0
0.356436	 0.45405	 0
0.366337	 0.454109	 0
0.376238	 0.454164	 0
0.386139	 0.454215	 0
0.39604	 0.454262	 0
0.405941	 0.454305	 0
0.415842	 0.454344	 0
0.425743	 0.454378	 0
0.435644	 0.454408	 0
0.445545	 0.454434	 0
0.455446	 0.454456	 0
0.465347	 0.454473	 0
0.475248	 0.454486	 0
0.485149	 0.454495	 0
0.49505	 0.454499	 0
0.50495	 0.454499	 0
0.514851	 0.454495	 0
0.524752	 0.454486	 0
0.534653	 0.454473	 0
0.544554	 0.454456	 0
0.554455	 0.454434	 0
0.564356	 0.454408	 0
0.574257	 0.454378	 0
0.584158	 0.454344	 0
0.594059	 0.454305	 0
0.60396	 0.454262	 0
0.613861	 0.454215	 0
0.623762	 0.454164	 0
0.633663	 0.454109	 0
0.643564	 0.45405	 0
0.653465	 0.453987	 0
0.663366	 0.45392	 0
0.673267	 0.45385	 0
0.683168	 0.453775	 0
0.693069	 0.453697	 0
0.70297	 0.453616	 0
0.712871	 0.453531	 0
0.722772	 0.453442	 0
0.732673	 0.45335	 0
0.742574	 0.453255	 0
0.752475	 0.453157	 0
0.762376	 0.453056	 0
0.772277	 0.452952	 0
0.782178	 0.452845	 0
0.792079	 0.452735	 0
0.80198	 0.452622	 0
0.811881	 0.452507	 0
0.821782	 0.45239	 0
0.831683	 0.45227	 0
0.841584	 0.452148	 0
0.851485	 0.452024	 0
0.861386	 0.451898	 0
0.871287	 0.45177	 0
0.881188	 0.451641	 0
0.891089	 0.45151	 0
0.90099	 0.451377	 0
0.910891	 0.451243	 0
0.920792	 0.451108	 0
0.930693	 0.450972	 0
0.940594	 0.450835	 0
0.950495	 0.450697	 0
0.960396	 0.450558	 0
0.970297	 0.450419	 0
0.980198	 0.45028	 0
0.990099	 0.45014	 0


